000101
$$  VEL-MODFILE Format 2001.09.26
$$  File was generated by UP_VELMOD at 2005.08.18-11:21:23
$$
$$  VLBI station velocities
$$  ~~~~~~~~~~~~~~~~~~~~~~~
$$
$$  Obtained from solution /tmp/2005d_3.vel
$$  Velocitites of some stations a replaced by values from /data1/save_files/itrf2000.vel
$$  They overwrote velocities from the solution.
$$  Velocities which were not estimated are taken from /lyra3/sol/2005b/2005b_apr.vel
$$
$$
$$  Modifications:
$$  Who  When        What
$$  pet  2005.12.22  Added velocities of BADARY, ZELENCHK, VERAIRIK, VERAISGK,
$$                   VERAOGSW. Set their velocity to NNR-NUVEL1A 
$$  pet  2005.12.29  Added velocity of station GEOCENTR
$$  pet  2006.01.19  Added velocity of DSS65A ( the same as DSS65 )
$$  pet  2006.03.30  Updated velocty of SINTOTU and  SINTOTU3
$$  pet  2006.09.05  Added apriori velocity of ATCA-104, CEDUNA and MOPRA --
$$                   NUVEL-NNR
$$  pet  2008.12.24  Added apriori velocity of CAMBRIDG, JODRELL2, TORUN and
$$                   WSTRB-07
$$  pet  2009.04.10  Added apriori velocity of DSS63
$$  pet  2010.09.12  Added stations ASKAP and WARKWORT   
$$  pet  2010.09.18  Added station  ATCAPN5
$$  pet  2010.11.08  Added HOBART12
$$  pet  2011.02.07  Added DSS34
$$  dad  2013.04.23  Added ARECIBO from re03fw.vex
$$
    KASHIMA            -0.30            5.20          -11.80    as KASHIM34 
    KATH12M           -36.83          -13.71           57.16  ! NNR-NUVEL1A
    KAUAI              -9.50           63.00           29.80    itrf2000.vel
    KIRSBERG           17.60           12.29          -18.20    2005d_3.vel
    KODIAK            -19.14            2.92           -1.27    2005d_3.vel
    KOGANEI            -2.27            4.56           -5.46    2005d_3.vel
    KOGANEI3           -2.27            4.56           -5.46    as KOGANEI 
    KOKEE              -9.50           63.00           29.80    itrf2000.vel
    KP-VLBA           -13.10            0.70           -8.30    itrf2000.vel
    KUNMING           -24.18           -1.39           -8.62  ! NNR-NUVEL1A
    KVNTN             -21.85           -6.56          -11.82  ! NNR-NUVEL1A
    KVNUS             -21.49           -6.72          -11.83  ! NNR-NUVEL1A
    KVNYS             -22.00           -5.77          -11.27  ! NNR-NUVEL1A
    KWAJAL26           20.40           69.49           26.42    2005d_3.vel
    LA-VLBA           -13.70            1.30           -7.20    itrf2000.vel
    LEFT85 3          -14.60           -0.80            0.6     NNR-NUVEL1A
    LEONRDOK          -12.40            1.70           -4.40    2005d_3.vel
    MADRID64           -7.60           19.60           12.90    NNR-NUVEL1A
    MALARGUE          -19.93          -20.57           10.46    http://sideshow.jpl.nasa.gov/post/tables/table1.html
    MAMMOTHL          -14.90           18.52          -12.37    2005d_3.vel
    MARCUS             50.67           53.04           21.04    2005d_3.vel
    MARPOINT          -14.45            1.13           -0.29    2005d_3.vel
    MATERA            -18.80           19.10           13.10    itrf2000.vel
    MCD 7850          -12.40           -0.10           -6.50    2005d_3.vel
    MEDICINA          -18.70           20.00            8.60    itrf2000.vel
    METSAHOV          -12.37           21.70           16.51    as METSHOVI
    METSHOVI          -12.37           21.70           16.51    2005d_3.vel
    MIAMI20            -8.81           -0.42            0.63    2005d_3.vel
