! tile     RA          DEC
! number   [rad]       [rad]
    226    0.928198    +1.430346
    227    1.070997    +1.430346
    228    1.213797    +1.430346
    229    1.356597    +1.430346
    230    1.499396    +1.430346
    231    1.642196    +1.430346
    232    1.784996    +1.430346
    233    1.927795    +1.430346
    234    2.070595    +1.430346
    235    2.213395    +1.430346
    236    2.356194    +1.430346
    237    2.498994    +1.430346
    238    2.641794    +1.430346
    239    2.784593    +1.430346
    240    2.927393    +1.430346
    241    3.070193    +1.430346
    242    3.212992    +1.430346
    243    3.355792    +1.430346
    244    3.498592    +1.430346
    245    3.641391    +1.430346
    246    3.784191    +1.430346
    247    3.926991    +1.430346
    248    4.069790    +1.430346
    249    4.212590    +1.430346
    250    4.355390    +1.430346
    251    4.498189    +1.430346
    252    4.640989    +1.430346
    253    4.783789    +1.430346
    254    4.926588    +1.430346
    255    5.069388    +1.430346
    256    5.212188    +1.430346
    257    5.354987    +1.430346
    258    5.497787    +1.430346
    259    5.640587    +1.430346
    260    5.783386    +1.430346
    261    5.926186    +1.430346
    262    6.068986    +1.430346
    263    6.211785    +1.430346
    264    0.065450    +1.417553
    265    0.196350    +1.417553
    266    0.327249    +1.417553
    267    0.458149    +1.417553
    268    0.589049    +1.417553
    269    0.719948    +1.417553
    270    0.850848    +1.417553
    271    0.981748    +1.417553
    272    1.112647    +1.417553
    273    1.243547    +1.417553
    274    1.374447    +1.417553
    275    1.505346    +1.417553
    276    1.636246    +1.417553
    277    1.767146    +1.417553
    278    1.898046    +1.417553
    279    2.028945    +1.417553
    280    2.159845    +1.417553
    281    2.290745    +1.417553
    282    2.421644    +1.417553
    283    2.552544    +1.417553
    284    2.683444    +1.417553
    285    2.814343    +1.417553
    286    2.945243    +1.417553
    287    3.076143    +1.417553
    288    3.207043    +1.417553
    289    3.337942    +1.417553
    290    3.468842    +1.417553
    291    3.599742    +1.417553
    292    3.730641    +1.417553
    293    3.861541    +1.417553
    294    3.992441    +1.417553
    295    4.123340    +1.417553
    296    4.254240    +1.417553
    297    4.385140    +1.417553
    298    4.516039    +1.417553
    299    4.646939    +1.417553
    300    4.777839    +1.417553
    301    4.908739    +1.417553
    302    5.039638    +1.417553
    303    5.170538    +1.417553
    304    5.301438    +1.417553
    305    5.432337    +1.417553
    306    5.563237    +1.417553
    307    5.694137    +1.417553
    308    5.825036    +1.417553
    309    5.955936    +1.417553
    310    6.086836    +1.417553
    311    6.217735    +1.417553
    312    0.060415    +1.404755
    313    0.181246    +1.404755
    314    0.302076    +1.404755
    315    0.422907    +1.404755
    316    0.543737    +1.404755
    317    0.664568    +1.404755
    318    0.785398    +1.404755
    319    0.906229    +1.404755
    320    1.027059    +1.404755
    321    1.147890    +1.404755
    322    1.268720    +1.404755
    323    1.389551    +1.404755
    324    1.510381    +1.404755
    325    1.631212    +1.404755
    326    1.752042    +1.404755
    327    1.872873    +1.404755
    328    1.993703    +1.404755
    329    2.114534    +1.404755
    330    2.235364    +1.404755
    331    2.356194    +1.404755
    332    2.477025    +1.404755
    333    2.597855    +1.404755
    334    2.718686    +1.404755
    335    2.839516    +1.404755
    336    2.960347    +1.404755
    337    3.081177    +1.404755
    338    3.202008    +1.404755
    339    3.322838    +1.404755
    340    3.443669    +1.404755
    341    3.564499    +1.404755
    342    3.685330    +1.404755
    343    3.806160    +1.404755
    344    3.926991    +1.404755
    345    4.047821    +1.404755
    346    4.168652    +1.404755
    347    4.289482    +1.404755
    348    4.410313    +1.404755
    349    4.531143    +1.404755
    350    4.651974    +1.404755
    351    4.772804    +1.404755
    352    4.893635    +1.404755
    353    5.014465    +1.404755
    354    5.135296    +1.404755
    355    5.256126    +1.404755
    356    5.376957    +1.404755
